TRANS_DATE,ASHARES,TRANS_PRICEPERSHARE,DSHARES
2013-05-03,21248063.91,111.4500345025877,68485995.0
2013-05-04,164010.0,18.453214285714285,55.0
2013-05-05,16653.55,34.3753125,98.0
2013-05-06,52460174.910000004,68.29861575178997,11929393.0
2013-05-07,52041083.59,86.59737235367372,469669800.0
2013-05-08,173054769.89000002,28.24746091307067,37887269.0
2013-05-09,43632975.6,25.293688348820588,216147539.0
2013-05-10,20144424.87,37.8766557805356,168180511.0
2013-05-11,132966.82,41.431827956989245,44.0
2013-05-12,134414.0,26.129814814814814,340.0
2013-05-13,519860474.76,30.973550151975683,2403231777.0
2013-05-14,135729974.67,67.15401951219512,117486333.0
2013-05-16,12745176.28,66.88363945578232,6394646.0
2013-05-17,161028584.60000002,51.87029331514325,344203814.0
2013-05-18,595808.0,20.452248062015506,173.0
2013-05-19,36826.0,11.83025,43767.0
2013-05-20,396868161.55,27.915805266380897,14973725.0
2013-05-21,348379444.68,166.826898861353,1921724285.0
2013-05-22,1271304625.59,2195.225033975085,413143722.0
2013-05-23,17293448.169999998,178.40573509933773,206174430.0
2013-05-24,11561228.96,54.66936363636364,13805800.0
2013-05-25,587807.0,31.437833333333334,25977.0
2013-05-26,4187944.0,23.769852941176474,11931.0
2013-05-27,47587.0,16.16465517241379,272934.0
2013-05-28,30064866.1,51.871265597147946,15942387.0
2013-05-29,205632547.63,66.96447368421052,90708519.0
2013-05-30,25827479.400000002,26.959889064976228,11237198.0
2013-06-01,4527871.51,25.81187898089172,8543.0
2013-06-02,201749.0,13.556071428571428,138.0
2013-06-03,65695461.88,27.362979753521127,24665559.0
2013-06-04,13973246.82,180.76288007554297,5973723.0
2013-06-05,108634949.34,21.23689189189189,60413750.0
2013-06-06,186606801.33,232.5957330415755,743817680.0
2013-06-07,35111263.38,21.321973947895792,32518128.0
2013-06-08,290202.0,36.075066666666665,962.0
2013-06-09,130458.0,41.96026315789474,196.0
2013-06-10,8439845.54,68.12572968490879,1548974.0
2013-06-11,15516867.13,195.64023702031602,14637903.0
2013-06-13,34562972.27,560.3517494824017,96436320.0
2013-06-14,200987580.51,29.86703539823009,42090806.0
2013-06-15,3346324.08,28.38509090909091,99744.0
2013-06-17,24952287.38,31.307625354777677,4803332.0
2013-06-18,243827912.06,101.98029216467464,1640686947.0
2013-06-19,482462393.51,19.904258241758242,58629526.0
2013-06-20,56470289.92,18.41235655737705,3380762.0
2013-06-21,12902845.28,747.074255319149,16368956.0
2013-06-23,190081.0,7.708253968253969,910.0
2013-06-24,452512175.24,101.42106546854941,118309511.0
2013-06-25,39473046.26,374.93068870523416,12332702.0
2013-06-26,72837886.16,49.069736842105264,34926579.0
2013-06-27,2043989572.9399998,190.26109060402683,742347428.0
2013-06-28,58299107.52,49053.64494912791,1228083.0
2013-06-29,276458.9,18.143030303030304,4265.0
2013-07-01,377152675.22,34.2810640272193,429686947.0
2013-07-02,50937556.76,73.88542521994135,438143479.0
2013-07-03,6751356.8100000005,27.160239130434785,1663701.0
2013-07-04,66868.0,4.783636363636364,65741.0
2013-07-05,143448447.23,29.31218411552347,45462566.0
2013-07-07,63006.52,23.416190476190476,5.0
2013-07-08,177943075.24,40.51480991735537,622122627.0
2013-07-09,978369813.21,72.0476282051282,4046229291.0
2013-07-11,81970214.27,47.38538726333907,21145702.0
2013-07-12,90951093.81,62.03028523489933,4597137.0
2013-07-13,23841.0,10.26576923076923,459.0
